gene	C5_unstranded	C5_strand1	C5_strand2
LOC114112203	1	1	0
LOC114110836	24	24	0
LOC114113923	0	0	0
LOC114112459	0	0	0
FAM240C	0	0	0
PDCD1	0	0	0
RTP5	0	0	0
NEU4	0	0	0
GAL3ST2	0	0	0
D2HGDH	62	39	23
ING5	0	0	0
DTYMK	0	0	0
ATG4B	74	39	35
THAP4	9	1	8
LOC105612006	0	0	0
BOK	165	109	56
STK25	83	46	37
FARP2	42	42	0
SEPTIN2	0	0	0
LOC121817693	0	0	0
LOC101101945	262	101	161
LOC121817697	0	0	0
PPP1R7	685	350	335
LOC101102694	0	0	0
SNED1	98	50	48
LOC121817700	0	0	0
LOC101102952	0	0	0
MAB21L4	21	3	18
AGXT	0	0	0
KIF1A	52	2	50
AQP12A	0	0	0
GPR35	31	0	31
CAPN10	105	74	31
LOC114113946	0	0	0
RNPEPL1	788	383	405
DUSP28	0	0	0
ANKMY1	63	32	31
GPC1	285	141	144
LOC114113949	0	0	0
OTOS	0	0	0
COPS9	185	73	112
LOC105611997	0	0	0
LOC101105206	0	0	0
LOC101105463	0	0	0
LOC101105712	0	0	0
LOC101106226	0	0	0
LOC105614374	0	0	0
LOC106990790	0	0	0
LOC101119544	0	0	0
LOC101119802	0	0	0
LOC101106484	0	0	0
LOC101106736	0	0	0
LOC101106990	0	0	0
LOC101107492	0	0	0
LOC114112937	0	0	0
LOC101107754	0	0	0
NDUFA10	778	432	346
LOC121818744	0	0	0
LOC121817241	0	0	0
LOC121818745	0	0	0
LOC121818748	0	0	0
HDAC4	89	53	36
LOC121818750	43	24	19
LOC121818751	0	0	0
TWIST2	0	0	0
LOC105609211	0	0	0
LOC121818752	0	0	0
LOC121818755	0	0	0
LOC105609212	0	0	0
ASB1	0	0	0
TRAF3IP1	37	37	0
PER2	100	48	52
HES6	157	79	78
LOC114113958	178	126	52
LOC121818762	0	0	0
LOC101109322	83	53	30
ERFE	0	0	0
KLHL30	0	0	0
ESPNL	54	27	27
SCLY	0	0	0
LOC105609220	0	0	0
UBE2F	0	0	0
RAMP1	184	92	92
RBM44	0	0	0
LRRFIP1	148	65	83
LOC114112941	0	0	0
